Russian Cyrillic: Ь	ь<br>'<br>(Soft sign)
- Позвольте вас познакомить.<br>Это моя мать.<br>Это мой отец.<br>- Очень приятно.<br><br>	- Permítame presentarle.<br>Esta es mi madre.<br>Este es mi padre.<br>- Mucho gusto.<br>
- Как Вы поживаете?<br>- Очень хорошо, спасибо, а как Вы?	- ¿Cómo está Ud.?<br>- Muy bien, gracias, ¿y Ud.?
Садитесь пожалуйста.	Siéntese por favor.
Передайте привет вашим тёте и даде.	Dele recuerdos a su tío y tía.
Приходите к нам опать.	Venga de nuevo a nuestra casa.
Что вы делаете сегодня вечером?	¿Qué hace Ud. esta noche?
Можно придти вам опать?	¿Puedo llamarle otra vez?
Вы мне очень нравитесь.	Me gusta Ud. mucho.
Поздравлаю с днём рождения.	Le/te felicito por su/tu cumpleaños.
Весёлого рождества.<br>Счастливого нового года.	Feliz navidad.<br>Próspero año nuevo.
- В каком городе Вы живёте?<br>- Я живу в городе Донецк.<br>- Сколько людей живёт в этом городе?<br>- В Донецке живёт более миллиона человек.	- ¿En qué ciudad vive Ud.?<br>- Vivo en la ciudad de Donetsk.<br>- ¿Cuántas personas viven en esa ciudad?<br>- En Donetsk viven más de un millón de personas.
- В какой стране находится Донецк?<br>- Донецк расположен в стране Украина.<br>- В какой части Украины расположен Донецк?<br>- Донецк расположен в юго-восточной Украине.	- ¿En qué país se encuentra Donetsk?<br>- Donetsk está situado en Ucrania.<br>- ¿En qué parte de Ucrania está situado Donetsk?<br>- Donetsk está situado en la Ucrania sud-oriental.<br>
Он обожает всё в ней.	Él adora todo en ella.
Он теряет всё. Мы применяем всё.	Él pierde todo. Nosotros lo usamos todo.
Я буду читать сегодня после обеда.	Estaré leyendo hoy después del almuerzo.
В следующим году я прочитаю "Войну и мир".	El año próximo leeré "Guerra y Paz".
Мы будем иметь дачу.	Tendremos una dacha.
- Каким морем омывается Украина?<br>- Украина омывается Азовским и Чёрным морем.	- ¿Por qué mar está bañada Ukrania?<br>- Ucrania está bañada por el Mar de Azov y el Mar Negro.
- Какая река в Украине самая большая?<br>- Днепр - самая река в Украине.	- ¿Cuál es el río más grande de Ucrania?<br>- El Dniéper es el río más grande de Ucrania.
- Где расположены горы Карпаты?<br>- Карпаты находятся на западе Украины.	- ¿Dónde están situados los montes Cárpatos?<br>- Los Cárpatos se encuentran en el oeste de Ucrania.
- Как вы будете делать это?<br>- Я никак не буду делать это.<br>- А я всё-таки буду делать это.	- ¿Cómo hará eso?<br>- No lo haré de ningún modo.<br>- Yo lo haré de todos modos.
- Какие горы есть на полуострове Крым?<br>- На полуострове Крым располосены Крымские горы.	- ¿Qué montañas hay en la península de Crimea?<br>- En la península de Crimea están los Montes de Crimea.
- На каком континенте находится Украина?<br>- Украина расположена в Европе.<br>- В какой части Европы расположена Украина?<br>- Украина находится в восточной части Европы.	- ¿En qué continente se encuentra Ucrania_<br>- Ucrania está situada en Europa.<br>- ¿En qué parte de Europa está situada Ucrania?<br>- Ucrania se encuentra en la parte oriental de Europa.
- Какие континенты кроме Европы Вы знаете?<br>- Кроме Европы есть континенты Азия, Северная и Южная Америка, Африка, Австралия, Антартида.	- ¿Qué continentes conoce aparte de Europa?<br>- Además de Europa existen los continentes de Asia, Norte y Suramérica, África, Australia, Antártida.
- Какие океаны есть на Земле?<br>- Есть четыре океана - Тихий, Атлантический, Индийский и Северный Ледовитый океан.	- ¿Qué océanos hay en la tierra?<br>- Hay cuatro océanos: Pacífico, Atlántico, Índico y Ártico.
Некоторые иностранцы думают, что в России медведи ходят по улицам. Конечно, это неправда! Медведи живут в лесу и не любят людей.	Algunos extranjeros piensan que en Rusia los osos caminan por la calle. ¡Por supuesto, esto no es cierto! Los osos viven en el bosque y no les gusta la gente.
Встреча с медведем может быть очень опасна.	An encounter with a bear can be very dangerous.
- Как ваше имя?<br>- Моё имя Джон.	- ¿Cuál es su nombre?<br>- Mi nombre es John.
Мне двадцать один год. Я американский гражданин.	Tengo 21 años. Soy ciudadano americano.
Мой почтовый адрес бродвей, номер девятьсот двадцать, Нью Йорк.	Mi dirección postal es Broadway 920, Nueva York.
Я преподаватель/коммеерсант.<br>Я здесь на время каникул / по делу.	Soy profesor/empresario.<br>Estoy aquí de vacaciones / por negocio.
Я еду в Куйбышев.	Voy a Kuibyshev.
Мне тепло/холодно.	Tengo calor/frío.
Хотется пить/есть.	Tengo sed/hambre.
Я занят/устал.	Estoy ocupado/cansado.
Русские люди любят ходить в лес и собирать грибы и ягоды. Они делают это с осторожностью, так как медведи тоже очень любят ягоды и могут напасть на человека.	Russians love going to the forest to collect mushrooms and berries. They do it carefully because bears love berries too, and they can attack a person.
Медведь ест всё: ягоды, рыбу, мясо и даже насекомых. Особенно он любит мёд.	A bear eats everything: berries, fish, meat and even insects.  Particularly, they love honey.
Кто-нибудь здесь говорит по-английски?	¿Alguien habla inglés aquí?
Я читаю только по-английски.	Solo leo inglés.
Я говорю нимного по-русски.	Hablo un poco de ruso.
Пожалйста, говорите медленнее.	Por favor, hable más despacio.
- Вы понимаете меня?<br>- Я не понимаю	- ¿Me comprende?<br>- No comprendo.
Повторите, пожалуйста.	Repita, por favor.
Я не знаю.<br>Я не думаю.	No lo sé.<br>No lo creo.
Напишите это, пожалийста.	Escríbalo, por favor.
Что значит это слово?	¿Qué significa esta palabra?
Что это?<br>Как сказать "lápiz" по-русск?	¿Qué es esto?<br>¿Cómo se dice "lápiz" en ruso?
Зимой медведи обычно спят, потому что погода слишком холодная и нет еды. Пока медведь спит, он может похудеть на 80 (восемьдесят) килограмм!	En invierno, los osos generalmente duermen, ya que el tiempo es muy frío y no hay comida. ¡Mientras un oso duerme, este puede adelgazar ochenta kilos!
Русские люди очень похожи на медведей. Зимой они тоже становятся медлительными и много спят, потому что на улице слишком холодно и темно.	Russian people resemble bears very much. In winter they also become slow and sleep a lot because it is too cold and dark outside.
Поэтому русские любят медведей и называют их "мишки". Миша - это талисман летней олимпиады 1980 (тысяча девятьсот восьмидесятого) года в Москве.	Por eso a los rusos les gustan los osos y los llaman "ositos". Misha es el símbolo de los Juegos Olímpicos (de verano) de Moscú de 1980.
Шутка про медведя<br>Холодная зима. Медведь бродит по лесу, иногда останавливается, стучит головой о дерево и кричит:<br>- Ну зачем, зачем я пил столько кофе?!	Un chiste de osos<br>Es un frío invierno. Un oso deambula por el bosque, de vez en cuando se para, golpea la cabeza contra un árbol y grita:<br>Pero por qué, ¡¿por qué bebí tanto café?!<br>
- Спасибо большое!<br>- Это не стоит / пожалуйста.	- ¡Muchas gracias!<br>- De nada.
Это не важно.	No es importante.
Пожалуйста не беспокойтесь.	Por favor, no moleste.
Кто вы?<br>Кто этот мальчик?<br>Кто эта девушка?<br>Кто этот мужчина?<br>Кто эта женщина?<br>	¿Quién es Ud.?<br>¿Quién es este muchacho?<br>¿Quién es esta muchacha?<br>¿Quién es este hombre?<br>¿Quién es esta mujer?
Где я могу помыть руки?	¿Dónde puedo lavarme las manos?
Где мужская/женская уборная?	¿Dónde está el servicio de caballeros/damas?
Что вы хотите?	¿Qué desea Ud.?
Идите сюда!<br>Войдите!	¡Venga aquí!<br>¡Entre!
Подождите один момент!	¡Espere un momento!
- Послушаите!<br>- Нет ещё!	- ¡Escuche!<br>- ¡Todavía no!
- Осторожно!<br>- Не теперь!	- ¡Cuidado!<br>- ¡Ahora no!
Вы можете сказать мне...?	¿Puede decirme...?
Я ищу своих друзей.	Busco a mis amigos.
Я не могу найти адреса своего отела.	No puedo encontrar la dirección de mi hotel.
Она потеряла свою сумку.	Ha perdido su bolso.
Он забыл деньги<br>... бумажник<br>... ключи	Olvidó el dinero<br>... la cartera<br>... las llaves
В чём дело?	¿Qué pasa?
Что мне делать?	¿Qué hago?
Мои очки разбились.	Se me han roto las gafas.
Обратитесь в бюро потерь и находок.	Pregunte en la oficina de objetos perdidos.
Я позову милиционера.<br>... участок милиции.<br>... американское консульство.	Llamaré a un miliciano.<br>...  al cuartel de la milica.<br>... al consulado americano.
Где мы можем сдать вещи в багаж дла отправки в Керчь?	¿Dónde podemos dejar nuestro equipaje para su envío a Kerch?
Я хочу оставить здесь эти пакеты на несколько часов.	Quisiera dejar aquí estos paquetes por nuas horas.
Обращайтесь с этим очень осторожно.	Trate esto con mucho cuidado.
Где таможна?	¿Dónde está la aduana?
Вот мой багаж<br>... мой паспорт<br>... моё удостоверение личности	Aquí está mi equipaje<br>... mi pasaporte<br>... mi tarjeta de identidad
Вот моё свидетелство здоровье<br>... моя виза туриста	Aquí está mi certificado médico<br>... mi visado de turista
Я еду транзитом.	Estoy en tránsito.
Чемоданы вон там мои.	Las maletás de ahí son mías.
У меня ничего нет подлежащего пошлине.	No tengo nada que declarar.
Всё это дла моего личного употребленйа.	Todo esto es para mi uso personal.
Нужно открыть все чемоданы?	¿Hay que abrir todas las maletas?
Здесь ничего нет кроме платья.	Aquí no hay más que ropa.
Это подарки.	Estos son regalos.
Нужно платить пошлину на эти вещи?	¿Hay que pagar arancel por estas cosas?
Сколько нужно заплатить?	¿Cuánto hay que pagar?
Это всё, что у меня с собой.	Esto es lo único que tengo.
Вы кончили?	¿Ha terminado?
Как мне пройти<br>... в контору авиационной линии?<br>... в кассу предварительной продажи вилетов?	¿Cómo llego<br>... a la oficina de la línea aérea?<br>... a la oficina de reservas de pasajes?
Сколько часов езды до Архангельска?	¿Cuántas horas de viaje hay hasta Arcángel?
Когда мы прибываем на Ладожское Озеро?	¿Cuándo llegamos al lago Ladoga?
Это прямой путь в Сочи?	¿Es este el camino directo a Sochi?
Пожалуйста, покажите мне дорогу<br>... в деловую часть города<br>.... в жилую часть города<br>... в часть города, где сосредоточены магазины	Por favor, muéstreme el camino<br>... a la zona de negocios de la ciudad<br>... a la zona residencial de la ciudad<br>... a la zona de la ciudad donde se concentran las tiendas
Пожалуйста, покажите мне дорогу<br>... в центр города<br>... в деревно<br>... загород	Por favor, muéstreme el camino<br>... al centro de la ciudad<br>... al pueblo<br>... a las afueras
Мне следует повернуть<br>... на север?<br>.... на юг?<br>... на восток?<br>... на запад?	¿Debería girar<br>... hacia el norte?<br>... hacia el sur?<br>... hacia el este?<br>... hacia el oeste?
Мне следует повернуть...<br>... направо?<br>.. налево?	¿Debo girar<br>... a la derecha?<br>... a la izquierda?
Какая это улица?	¿Qué calle es esta?
Где это?	¿Dónde está?
Как далеко это?	¿A qué distancia está?
Могу я пройти туда пешком?	¿Puedo ir a pie?
Я вам очень обязан.	Le estoy muy agradecido.
Я иду в правильном направлении?	¿Voy en la dirección correcta?
Нужно мне идти в эту/ту сторону?	¿Debo ir por acá/allá?
Это на этой/другой стороне улицы?	¿Está en este/(el otro) lado de la calle?
Это<br>... по бульвару?<br>... на набережной?	¿Está<br>... por el bulevár?<br>... en el dique?
Это<br>... через мост?<br>... за светофором?	¿Está<br>... pasado el puente?<br>... detrás del semáforo?
Это<br>... на углу?<br>... посередиине?	¿Está<br>... en la esquina?<br>... enmedio?
Это<br>... позади?<br>... впереди?	¿Está<br>... detrás?<br>... delante?
Это<br>... у входа?<br>... против парка?	¿Está<br>... junto a la entrada?<br>... frente al parque?
Это<br>... рядом со школой?<br>... позади здания?	¿Está<br>... junto a la escuela?<br>... detrás del edificio?
Это<br>... вниз по лестнице?<br>... на горе?	¿Está<br>... bajando las escaleras?<br>... subiendo la cuesta?
В одном доме живёт коробка. Коробка огромная.	En una casa vive una caja. La caja es enorme.
Она не знает, какая у неё длина, ширина, высота и объём.	No sabe cuál es su longitud, anchura, profundidad ni volumen.
Коробка стоит в углу на чердаке двухэтажного Дома. Она переехала в Германию десять лет назад вместе с семьёй инженера Николаева из Росии.	La caja está en una esquina en el desván de una casa de dos pisos. Se mudó a Alemania dese Rusia hace diez años junto a la familia del ingeniero Nikolaev.
По крайней мере, она слышала, что теперь она живёт в Германии. Но сама она в этом не очень уверена.	Por lo menos, ha oído que ahora vive en Alemania. Pero Ella misma no está muy segura de eso.
До переезда коробка жила в городе Петербурге на улице Клары Цеткии. И страна называлась "Россия". И все вокруг говорили по-русски.	Hasta la mundanza la caja vivió en la ciudad de San Petersburgo. El país se llamaba "Rusia". Y todos lo de alrededor hablaban ruso.
А теперь она проживает в городе Мирове на улице Юрия Гагарина. И страна называется "Германия". Здесь все говорят по-немецки. Коробка совсем запуталась.	Y ahora vive en la ciudad de Mirov, en la calle Yuri Gagarin. El país se llama "Alemania". Aquí todos hablan alemán. La caja está totalmente perpleja.
Где билетная касса?<br>Где касса предварительной продажи билетов?	¿Dónde está la taquilla?<br>¿Dónd está la ventanilla de reserva de boletos?
Сколько стоит билет (туда и обратно)/(в один конец) до Кисловодска?	¿Cuánto cuesta un billete (de ida y vuelta)/(solo de ida) a Kislovodsk?
Сколько стоит плацкарта?	¿Cuánto cuesta una plaza reservada?
У меня плацкарта на это место.	Tengo plaza reservada en este asiento.
Могу я прервать поездку в Ессентуках?	¿Puedo parar de camino a Yesentuki?
Когда мы должны быть на пароходе?	¿Cuándo debemos estar a bordo?
Счастливото пути!	¡Buena travesía!
Где ...<br>капитан?<br>каюта?<br>палуба?	¿Dónde está..<br>el capitán?<br>el camarote?<br>la cubierta?
Я хочу...<br>заказать место на аэроплане.<br>подтвердить свой заказ на место.	Quiero..<br>reservar una plaza en el avión.<br>confirmar una reserva de plaza.<br>
Есть ли автобусное сообщение между отелем и аэропортом?	¿Hay servicio de autobús entre el hotel y el aeropuerto?
В котором часу за мной заедут?	¿A qué hora me llamarán?
Полёт номер двадцать три не опаздывает?	¿El vuelo 23 no tiene retraso?
Сколько кило можно взать с совой?	¿Cuántos kilos puedo llevar?
Раньше коробка принадлежала маленькому мальчику по имени Игорь. Но все называли его Гариком.	Antes la caja pertenecía a un chico joven de nombre Igor. Pero todos lo llamaban Garik.
Сколько берут за кило сверх нормы?	¿Cuánto cobran por kilo de exceso de equipaje ("por encima de la norma")?
Сегодня Игорь - студент. Он учится в университете имени Гумбольдта в Берлине, на физико-математическом факультете.	Hoy en día Igor es estudiante. Estudia en la universidad llamada Humboldt en Berlín, en la facultad de Físicas y Matemáticas.
Игорь изучает информатику. Он хочет стать программистом.	Igor estudia informática. Quiere llegar a ser programador.
Игорь  знает о компьютере бсё. Что такое монитор. Что такое жёсткий диск. Как писать программы. Как работает интернет.	Igor sabe todo sobre computadoras. Qué es una pantalla. Qué es un disco duro. Cómo escribir programas. Cómo funciona internet.
А о каробке он совсем забыл. Но коробка не чувствует себя одинокой.	Y ha olvidado totalmente a la caja. Pero la caja no se siente sola.
В ней хранится много интересных вещей, которые рассказыбают ей каждый день разные истории.	En ella se guardan muchas cosas interesantes, que cada día le cuentan diferentes historias.
Самый большой друг коробки - серый плюшевый заяц. Он живёт в ней очень давно.	El mejor ("mayor") amigo de la caja es un conejo de peluche gris. Hace mucho que vive dentro de ella.
Заяц поселился в коробке, когда она была совсем молодой.	El conejo se afincó en la caja, cuando ella era muy joven.
Серый заяц - маленький и толстый/тонкий.	El conejo gris es pequeño y gordo/delgado.
У него длинные уши, два маленьких глаза и смешной чёрный нос.	Tiene orejas largas, dos ojos pequeños y una graciosa nariz negra.
У зайца четыре лапы. Он держит в них морковку.	El conejo tiene cuatro patas. En ellas sostiene una zanahoria.
Заяц весь серый, а лапы у него синие. Это маленький Игорь (тогда ещё Гарик) поркасил их в синий цвет. Совершенно случайно, конечно.	La liebre es totalmente gris, pero tiene patas azules. El pequeño Igor (entonces todavía Garik) las pintó de color azul. Totalmente por casualidad por supuesto.
Где вокзал?	¿Dónde está la estación de tren?
Когда отходит поезд в Днепропетровск?	¿Cuándo sale el tren a Dniepropetrovsk?
С какой платформы отходит поезд?	¿Desde qué andén sale el tren?
Пожалуйста откройте окно.<br>... закройте дверь.	Por favor abra la ventana.<br>... cierre la puerta.
Где вагон-ресторан?<br>... спальный вагон?<br>... вагон для курящих?	¿Dónde está el vagón-restaurante?<br>¿... el vagón-cama?<br>¿... el vagón para fumadores?
Где мы теперь?	¿Dónde estamos ahora?
Можно здесь курить?	¿Se puede fumar aquí?
- Какая у Вас кухня?<br>- Моя кухня большая и удобная.	- ¿Cómo es su cocina?<br>- Mi cocina es grande y cómoda.
- У Вас есть холодильник? Какой он?<br>- Да, есть. В нём есть хорошая морозильная камера.	- ¿Tiene frigorífico? ¿Cómo es?<br>- Sí tengo. En él hay un buen congelador.
- Где стоит Ваш холодильник?<br>- Он стоит в углу.	- ¿Dónde está su frigorífico?<br>- Está en la esquina.
- У Вас есть тостер или блендер?<br>- У меня есть тостер, блендер и миксер.	- ¿Tiene Ud. tostadora?<br>- Tengo tostadora, licuadora y batidora.
- Где они находятся?<br>- Блендер и миксер стоят на полке. А тостер на столе.	- ¿Dónde se encuentran?<br>- La licuadora y la batidora están en el estante. Y la tostadora sobre la mesa.
- У Вас есть кофеварка?<br>- Да, у меня есть кофеварка. Я очень люблю кофе.	- ¿Tiene Ud. cafetera?<br>- Sí, tengo cafetera. Me gusta mucho el café.
- У Вас есть микроволновая печь?<br>- Есть. Я в ней обычно разогреваю обед.	- ¿Tiene Ud. horno microondas?<br>- Lo tengo. Suelo calentar el almuerzo en él.
- Где расположена микроволновка?<br>- Она расположена возле тостера.	- ¿Dónde está su microondas?<br>- Está cerca de la tostadora.
- У Вас на кухне есть мебель?<br>- В центре кухни стоит стол и несколько стульев.	- ¿Tiene muebles en la cocina?<br>- En medio de la cocina hay una mesa y algunas sillas.
- У Вас на кухне есть элетроника?<br>- На стене у меня висит телевизор.	- ¿Tiene aparatos electrónicos en la cocina?<br>- Un televisor cuelga de la pared.
- У Вас печь газовая или электрическая?<br>- Моя печь газовая.	- ¿Tiene horno de gas o eléctrico?<br>- Mi horno es de gas.
- У Вас на кухне только холодная или горячая вода есть?<br>- На кухне есть и холодная, и горячая вода.	- ¿Tiene Ud. solo agua fría o también caliente?<br>- En la cocina hay agua fría y caliente.
Только глупцы могут быть уверены.	Solo los tontos pueden tener certeza.
Какой трамвай идёт в Парк культуры и отдыха?	¿Qué tranvía va al Parque de la Cultura y el Descanso?
Где остановка автобуса?	¿Dónde está la parada de autobús?
Можно доехать до умиверситета по этой линии метро?	¿Puedo llegar hasta la universidad con esta línea de metro?
Нужно пересаживаться?	¿Hay que transbordar?
Билет с пересадкой. пожалуйста.	Un billete de transbordo, por favor.
Кондуктор, пожалуйста скажите, где мне сойти.	Revisor, por favor dígame dónde bajar.
В общем, он просто грязнуля.	En resumen, es un descuidado.
На протяжении вечера он играет на компьютере.	Durante la tarde juega en la computadora.
- Это хороший ответ.<br>- Хороший? Превосходен!	- Es una buena respuesta.<br>- ¿Buena? ¡Es perfecta!
- Вы любите купаться?<br>- Я очень люблю купаться.	- ¿Le gusta bañarse?<br>- Me gusta mucho bañarme.
- Вы обычно принимаете банну или душ?<br>- Обычно я принимаю душ, но иногда люблю и в ванне полежать. 	- ¿Suele Ud. bañarse o ducharse?<br>- Suelo ducharme, pero a veces me gusta tumbarme en la bañera.
- Вы моете руки, когда возвращаетесь с улицы?<br>- Всегда мою руки после улицы.	- ¿Se lava las manos cuando vuelve de la calle?<br>- Siembre me lavo las manos después de estar en la calle.
- Вы умываетесь только утром или вечером тоже?<br>-  Я умываюсь и утром и вечером.	- ¿Se lava Ud. solo por la mañana o también por la tarde?<br>- Me lavo tanto por la mañana como por la tarde.
- Часто Вы меняете носки?<br>- Я меняю носки каждый день.	- ¿Se cambia a menudo de calcetines?<br>- Me cambio de calcetines cada día.
- Как часто Вы стираете свою одежду?<br>- Я стираю одежду каждую неделю.	- ¿Con qué frecuencia lava su ropa?<br>- Lavo la ropa cada semana.
- Как часто Вы купаетесь?<br>- Я купаюсь утром и вечером.	- ¿Cada cuánto se baña o ducha Ud.?<br>- Me baño por la mañana y por la tarde.
- Сколько раз в день Вы чистите зубы?<br>- Я чищу зубы два раза в день.	- ¿Cuántas veces al día se cepilla Ud. los dientes?<br>- Me cepillo los dientes dos veces al día.
- Вы часто чистите свою обувь?<br>- А чищу свою обувь каждый день.	- ¿Cepilla Ud. sus zapatos a menudo?<br>- Cepillo mis zapatos cada día.
- Ваш знакомый любит купаться?<br>- Мой знакомый не любит купаться.	- ¿A su conocido le gusta bañarse?<br>- A mi conocido no le gusta bañarse.
- Он моет руки перед едой?<br>- Нет, он не моет руки перед едой.	- ¿Se lava las manos antes de comer?<br>- No, no se lava las manos antes de comer.
- Почему он этого не делает?<br>- Говорит, что это напрасная трата времени.	- ¿Por qué no lo hace?<br>- Dice que es una pérdida de tiempo.
- Как часто он моется?<br>- Моется он обычно один раз в несколько дней.	- ¿Con qué frecuencia se lava?<br>- Suele lavarse una vez cada varios días.
- Чистит он зубы два раза в день?<br>- Он чистит зубы только когда вспоминает об этом.	- ¿Se cepilla los dientes dos veces al día?<br>- Solo se cepilla los dientes cuando se acuerda.
- Ваш знокомый носки меняет каждый день?<br>- Носки он может не менять неделю.	- ¿Su conocido se cambia de calcetines cada día?<br>- Puede no cambiarse de calcetines durante una semana.
В детстве Игорь мечтал стать художником. Он любил рисовать.	En la niñez Igor soñaba con llegar a ser artista. Le encantaba pintar.
Гарик очень много рисовал. А серый заяц всегда сидел рядом. Он наблюдал за Гариком.	Garik dibujaba mucho. Y el conejo gris siempre estaba sentado a su lado. Observaba a Garik.
Гарик рисовал природу: зелёный лес, жёлтое солнце, голубое небо, белые облака, коричневые горы.	Garik pintaba la naturaleza: el bosque verde, el sol amarillo, el cielo azul, las nubes blancas, las montañas marrones.
Картина, на которой нарисована природа, называется «пейзаж».	Una ilustración en la que está pintada la naturaleza, se llama "paisaje".
Однажды Гарик захотел нарисовать морской пейзаж.	Una vez Garik quiso pintar un paisaje marino.
Море, волны, берег и солнце уже были готовы.	El mar, las olas, la orilla y el sol ya estaban terminados.
Обычные вопросы и ответы	Preguntas y respuestas habituales
- Какая улица, на которой живёт Аня?<br>- Её улица широкая и длинная.	- ¿Cómo es la calle en la que vive Ana?<br>- Su calle es ancha y larga.
- Что находится возле её дома?<br>- Возле её дома расположен детский сад.	- ¿Qué hay junto a su casa?<br>- Junto a su casa se encuentra un jardín de infancia.
- Есть ли на улице школа?<br>- Да. На улице есть школа. Она расположена за продуктовым магазином.	- ¿Hay una escuela en la calle?<br>- Sí. En la calle hay una escuela. Está situada detrás de la tienda de alimentos.
- Что находится между обувным магазином и детским садом?<br>- Между обувным магазином и детским садом находится кафе.	- ¿Qué hay entre la zapatería y el jardín de infancia?<br>- Entre la zapatería y el jardín de infancia hay una cafetería.
- Есть ли на Аниной улице почта?<br>- Есть, она расположена около рынка.	- ¿Hay una oficina de correos en la calle de Ana?<br>- La hay, está situada junto al mercado.
Как вдруг - шпёл... И заяц упал прямо в море. Точнее, на море, которое было нарисовано на картикне.	Y de repente - splash... El conejo se cayó directamente en el mar. En concreto, en el mar que estaba pintado en el dibujo.
Синяя краска не успела высохнуть да так и осталась у него на лапах.	La pintura azul todavía no se ha secado y de ese modo se quedó en sus patas.
- Есть ли перекрёстки на улице?<br>- Есть. Один перекрёсток находится около дома Ани.	- ¿Hay cruces en la calle?<br>- Sí. Hay un cruce junto a la casa de Ana.
- На этом перекрёстке есть светофор?<br>- Нет, светофора на перекрёстке нет.	- ¿En ese cruce hay un semáforo?<br>- No no hay semáforos en el cruce.
- Сколько банков на Аниной улице?<br>- На её улице расположено два банка.	- ¿Cuántos bancos hay en la calle de Ana?<br>- En su calle hay situados dos bancos.
- На улице есть площадь?<br>- Нет, но там есть центральный рынок.	- ¿Hay una plaza en la calle?<br>- No, pero está el mercado central.
- Какой транспорт останавливается на остановке, что возле её дома?<br>- На этой остановке останавливается троллейбус номер восемь и много автобусов.	- ¿Qué medio de transporte para en la parada cercana a su casa?<br>- En esa parada para el trolebús número ocho y muchos autobuses.
- Что расположено перед рынком?<br>- Перед рынком расположен университет.	- ¿Qué está situado delante del mercado?<br>- Frente al mercado está situada la universidad.
Поступки говорят громче, чем слова.	Las acciones hablan más algo que las palabras.
И солнце и дождь нужны для прекасной радуги.	Hacen falta tanto el sol como la lluvia para que haya un bello arco iris.
Пoжалуйста вызовите мне такси.	Por favor llame un taxi para mí.
Такси свободно?	¿Está libre el taxi?
Сколько вы берёте...<br>за час?<br>за километр?	¿Cuánto cobra...<br>por hora?<br>por kilómetro?
Пожалуйста позжайте...<br>медленнее.<br>осторожнее.<br>	Por favor conduzca...<br>más despacio.<br>con más cuidado.
Остановитесь здесь.	Pare aquí.
Подождите мена.	Espéreme.
Где я могу взать автомобиль на прокат?	¿Dónde puedo alquilar un auto?
У меня...<br>мездународное шофёрское свидетельство.<br>кредитная карточка.	Tengo...<br>un permiso internacional de conducir.<br>una tarjeta de crédito.
Заправочный пункт.	Estación de servicio.
Дарога хорошая/плохая?	¿La carretera es buena/mala?
Куда ведёт дорога?<br>А следующий?	¿Adónde lleva esta carretera?<br>¿Y la siguiente?
Можете вы показать мне его на карте?	¿Puede mostrármelo sobre el mapa?
Дайте мне сорок литров.	Póngame cuarenta litros.
Проверьте масло.	Compruebe el aceite.
Налейте воды в радиатор.	Ponga agua en el radiador.
Смажьте машину.	Lubrique el coche.
Зарядите батарею.	Cargue la batería.
Наладьте тормоза.	Ajuste los frenos.
Можете вы проверить шины?	¿Puede comprobar los neumáticos?
Можете вы починить эту сдавшую шину сейчас же?	¿Puede arreglar este pinchazo ahora?
- Вы ездите на работу пересадками или без?<br>- Я езжу на работу с пересадкой.	- ¿Usted tansborda al ir al trabajo?<br>- Transbordo al ir al trabajo.
Есть три типа мужчни, которые не понимают женщин: молодые, старые и среднего возраста.	Hay tres tipos de hombres que no entienden a las mujeres: jóvenes, viejos y de mediana edad.
Я ещё не чувствую возраста. У души нет возраста.	Todavía no siento la edad. El espíritu no tiene edad.
Каждый день медленно изменяет нашу жизнь, как капающая вода изменяет камень.	Cada día moldea lentamente nuestra vida, como el agua que gotea moldea la piedra.
- Каким транспортом Вы ездите на работу?<br>- Я сажусь на автобус номер два.	- ¿Con qué transporte va Ud. al trabajo?<br>- Me monto en el autobús número dos.
Учитель: Твоё правописание намного лучше. На этот раз только пять ошибок.<br>Ученик: Спасибо.<br>Учитель: Теперь давай перейдём к следующему слову.	Maestro: Tu ortografía es mucho mejor. Esta vez solo cinco errores.<br>Alumno: Gracias.<br>Maestro: Ahora pasemos a la siguiente palabra.
- Сколько остановок Вы на нём проезжаете?<br>- Я еду три остановки, затем выхожу.	- ¿Por cuántas paradas pasa?<br>- Paso por tres paradas, y después me bajo.
- На какой остановке Вы выходите?<br>- Выхожу на остановке «Парк».	- ¿En qué parada se baja?<br>- Me bajo en la parada "Parque".
- На что Вы там пересаживаетесь?<br>- Там я пересаживаюсь на троллейбус номер пять.	- ¿A qué vehículo transborda?<br>- Allí transbordo al trolebús número cinco.
- Как долго Вы едете на троллейбусе?<br>- На троллейбусе я еду около пяти минут.	- ¿Cuánto tiempo viaja en trolebús?<br>- En el trolebús viajo unos cinco minutos.
- Сколько времени у Вас занимает дорога на работу?<br>- Около двадцати минут.	- ¿Cuánto tiempo dura el trayecto al trabajo?<br>- Unos veinte minutos.
- Есть ли у Вас другой путь добраться на работу?<br>- Есть. Можно добраться на трамвае номер один. Затем на автобусе номер сорок два.	- ¿Tiene otra ruta para llegar al trabajo?<br>- Sí. Se puede llegar con el tranvía número uno. Después conel autobús 42.
- А сколько этот путь занимает времени?<br>- Этот дольше. Около сорока минут.	- ¿Cuánto tiempo dura esa ruta?<br>- Es más larga. Unos 40 minutos.
- От остановки далеко идти до работы?<br>- Нет, всего минуту.	- ¿Hay que caminar mucho hasta el trabajo?<br>- No, solo un minuto.
- Каким транспортом Евчений добирается до работы?<br>- Евчений не ездит на работу. Он ходит пешком.	- ¿Qué vehículo utiliza Yevgeny para ir al trabajo?<br>- Yevgeny no va en vehículo. Va a pie.
