Добрый день!	¡Buenos días!
Однако<br>За время пути<br>Собака<br>Могла подрасти!	Sin embargo<br>Durante el camino<br>El perro<br>¡Podía crecer!
Я поблю (повить) рыбу, и уже поймал (поймать) много рыбы.	Practico la pesca ("intento agarrar peces") y ya he cogido muchos peces.
- Простите, у вас есть свободные номера? Я хотел бы остановится в вашей гостинице.<br>- Боюсь, что я вас ничем не обрадую. Сейчас туристический сезон. А вы не заказывали номер заранее?	- Disculpe, ¿tiene habitaciones libres? Querría alojarme en su hotel.<br>- Me temo no poder satisfacerle. Ahora es la temporada turística. ¿No ha reservado habitación con antelación?
- Да, заказывал, но гостиница оказалась слишком далеко от центра.<br>- Постараемся чем-нибудь вам помочь. Мне кажется, вам повезло. Есть очень хороший номер на одночо на втором этаже.	- Sí, la reservé, pero resulta que está demasiado lejos del centro.<br>- Vamos a intentar ayudarle. Me parece que tiene suerte. Hay una habitación individual muy buena en el primer piso.
- Да, но мне нужен номер на двоих. Я приехал в Москву с женой.<br>- Это, узе посложнее... хотя... одну минуточку. Всё в порядке, есть номер на двоих на третьем этаже.<br>Правда, окна выходят на улицу.	- Eso ya es más complicado... aunque... un momentito. Todo está en regla, hay una habitación para dos en el segundo piso. Es verdad que las ventanas dan a la calle.
- Это не важно. Днём мы в гостинице практически не будем, а ночью, как я думаю, на улице не так шумно.<br>- Вы абсолютно првы. Если вы согласны, то заполните, пожалуйста, вот этот бланк. Кстати, сколько времени вы будете в Москве?	- Eso no importa. De día prácticamente no estaremos en el hotel, y por la noche, creo que no hay tanto ruido en la calle.<br>- Tiene Ud. toda la razón. Si está de acuerdo, rellene, por favor, este formulario. A propósito, ¿cuánto tiempo estarán en Moscú?
- Дней пять, не больше. Мы ещё собираемся съездить в Санкт-Петербург.<br>- Вот ваши ключи. Ваш номер на третьем этаже, лифт перед вами. Горничная на этаже вам покажет ваш номер.	- Unos cinco días, no más. Tenemos la intención de ir también a San Petersburgo.<br>- Aquí tiene las llaves. Su habitación está en el segundo piso. El ascensor lo tienen delante. En el piso, la camarera les mostrará la habitación.
- Огромное вам спасибо. Я могу оплатить номер сейчас?<br>- Как вам угодно. Можете сейчас, можете потом. Я думаю, вам у нас понравится. Кстати, ресторан на первом этаже. Там вы будете завтракатъ. Всего вам доброго!	- Muchísimas gracias. ¿Puedo pagar la habitación ahora?<br>- Como quiera. Puede ahora o más tarde. Creo que le va a gustar nuestro hotel. POr cierto, el restaurante está en la planta baja. Allí van a desayunar. ¡Feliz estancia!
- Здравствуй, дорогой! Мы с тобой не виделись вечность, а надо бы повидаться, поболтать, или ты, как всегда, по уши в работе?<br>- Работа не волк, как говорят, в лес не убежит, а встретится и пообщаться, действительно, нужно бы.	- ¡Hola querido! Hace una eternidad que no nos vemos, y sería bueno vernos un poco, charlar, o tú, como siempre, ¿estás "hasta las orejas de trabajo"?<br>- El trabajo como dicen, no es un lobo, no correrá al bosque, y efectivamente, deberíamos vernos y hablar.
- Так в чём дело? У меня есть два билета в театр на сегодня. Давай сходим.<br>- Ты не можешь жить без  сюрпризов. А куда билеты и на что?	- ¿De qué se trata? Tengo dos entradas al teatro para esta noche. Vamos.<br>- No puedes vivir sin sorpresas. ¿Y para dónde y para qué son las entradas?
- О дорогой! Билеты я достал по великому блату. Вернее, мне их подарили. А пойдём мы с тобой во МХАТ и будем смотреть пьесу Вампилова "Утиная охота".<br>- Я эту пьесу уже видел в Иркутске, но во МХАТ скожу с опгромным удовольствием. Говорят, постановка отличная.	- ¡Oh, querido! Las entradas las he conseguido con un gran enchufe... Más exactamente, me las han regalado. Iremos al MJAT a ver la obra de Vampilov "La caza de patos".<br>- Yo ya vi esa obra en Irkutsk, pero iré al MJAT con muchísimo gusto. Se dice que la puesta en escena es magnífica.
- И постановка, и игра атёров. Сегодня, главую роль исполняет молодой актёр, который мне очень нравится. Во МХАТе всегда прекрасные артисты.<br>- Скажи, пожалуйста, а где наши места?<br>В партере?	- La puesta en escena y la interpretación de los actores. Hoy representará el papel principal un actor joven que me gusta mucho. En el MJAT los artistas son siempre buenos.<br>- Dime por favor, ¿dónde están nuestros asientos? ¿En el patio de butacas?
- На этот раз мы будем сидеть на балконе. Оттуда всё видно и слышно прекрасно.<br>- Спасибо тебе, я просто не знал, как убить вечер. Да, кстате, а кто режиссёр спектакля?	- Esta vez nos sentaremos en la galería. Desde allé se ve y oye todo excelentemente.<br>- Gracias, yo simplemente no sabía cómo pasar noche. A, por cierto, ¿quién es el director de la función?
- Я не знаю. Я хожу в театр от случая до случая. В театре купим программу и всё узнаем. Не збудь, спектакль начинается ровно в семь, и после звонка в зал нельзя входить.<br>- Я буду у входа за полчаса до начала спектакля. Приходи пораньше. Забежим в буфет и выпьем по чашечке кофе.	- No lo sé. Voy al teatro muy de vez en cuando. En el teatro compraremos un programa y lo averiguaremos todo. No olvides que la función comenza a las siete en punto, y después del timpre no se puede entrar en la sala.
Ирония судьбы	Ironía del destino
- Алло? Москва? Позовите, пожалуйста, Галю. Это Галя? А Женя уже ушёл на аэродром.<br>- А кто вы такая?<br>- Случайная знакомая.	- Oiga ¿Moscú? Páseme a Galia, por favor. ¿Es Ud. Galia? Zheña ya ha ido al aeropuerto.<br>- Pero, ¿quién es Ud.?<br>- Una conocida casual
- А как он оказался у вас в квартире?<br>- Сейчас я вам всё объясню. Женя вчера пощёл в баню...<br>- Это у них традиция. Женя и его школьные друзья каждый год тридцать первого декабра ходят в баню.	- ¿Y cómo apareció él en su piso?<br>- Ahora le explicaré todo. Zheña ayer fue a los baños...<br>- Esa es una tradición suya, Zheña va con sus compañeros de escuela a los baños cada 31 de diciembre.
- Откуда вы это знаете? Значит, вы знакомы много лет?<br>- Нет, мы познакомились несколько часов <br>назад. Вы поймите, мой адрес в Ленинграде такой же, как у него в Москве... Он по ошибке полал в Ленинград и пришёл ко мне, как к себе домой.	- ¿Cómo lo sabe Ud.? ¿Significa que hace muchos años que lo conoce?<br>- No, nos conocimos hace unas horas. Comprenda, mi dirección en Leningrado es la misma que la suya en Moscú. Por equivocación se encontraba en Leningrado y llegó a mi casa, como a la suya.
- Я всё поняла. Вы даже знаете его московский адрес.<br>- Галя, Галя... Толька не вешайте трубку. Вы нечего не поняли... Ваш Женя добрый, славный... он ни в чём виноват... И я вам немного завидую... Вы знаете, он мне очень понравился... Простите его...	- He comprendido todo. Hasta se sabe Ud. su dirección de Moscú.<br>- Galia, Galia... No me vaya a colgar. No ha comprendido nada... Su Zheña es bueno, honrado... Hasta la envidio un poco.. Sabe, él me ha gustado mucho... Perdónele...
- Почему вы его защищаете? Вы замужем?<br>- Какое это имеет значение?<br>- Значит, не замужем... И он улетел в Ленинград, встречать с вами Новый год.<br>- Это было не так.	- ¿Por qué lo defiende? ¿Está Ud. casada?<br>- ¿Qué importancia tiene eso?<br>- Es decir que no está casada... Y él voló a Leningrado a recibir el año nuevo con Ud.<br>- No fue así.
- Последний шанс?<br>- Как вам не стыдно?<br>- Это мне стыдно? Я у вас жениха не крала! 	- ¿Última oportunidad?<br>- ¿Cómo no le da vergüenza?<br>- ¿Vergüenza, yo? ¡Yo no le he quitado el novio!
- Вы всё неправильно понимаете.<br>- Вы хищница! Но всё равно, у вас ничего не выйдет! В последний момент он всё равно сбежит.	- Comprende Ud. todo mal.<br>- ¡Ud. es una víbora! Pero es igual, no logrará nada. En el último momento él se escapará de todas formas.
- Какое сегодня число?<br>- Первое Августа.<br>- А когда вы удете?<br>- Пятого февряла.	- ¿Qué fecha es hoy?<br>- Uno de agosto.<br>- ¿Y cuándo salís de viaje?<br>- El cinco de febrero.
- Друзья мои! Что это вы приуныли, головы повесили? На улице такая красота! Тепло, солнечно. Даже по радио обещали прекрасную погоду без перемен.	- ¡Amigos míos! ¿Por qué estáis tan abatidos, por qué agacháis la cabeza? Fuera hace un tiempo maravilloso. Calor, sol, incluso por la radio han prometido un tiempo muy bueno sin cambios.
- Ты знаешь, мы оказались в глупом положении. Целый час ждём Михаила. Он обещал нас повозить по городу, но сам как в воду канул.	- Sabes, resulta que estamos en una situación tonta. Hace una hora entera que esperamos a Mijail. Prometió llevarnos por la ciudad, pero ha desaparecido "como el agua".
- "Обещанного три года ждут", говорят русские, но мы не станем этого делать. Быстро - спортивные костюмы, не забудьте плавки и за город, на Москву-реку.	- "Lo prometido se espera tres años", dicen los rusos, pero nosotros no vamos a hacer eso. Rápido, ropa deportiva, no olvidéis los bañadores a vamos al campo, a la orilla del río Moscú.
- Что тебе пришло в голову?! Первый тёплый день в Москве, и сразу же дупаться и загорать!	- ¿Qué se te ha ocurrido? El primer día de calor en Moscú y ¡enseguida a bañarse y a tomar el sol!
- Ну, ребята, с вами каши не сваришы! Хорошо, если вы такие неженки, я предлагаю пройтись по городу пешком, а гидом буду я. Итак, ваши пожелания господа?	- Pues, hijos míos, "con vosotros no se cocerá la kasha". Bueno, si sois así, os propongo dar un paseo por la ciudad y el guía seré yo. Entonces, ¿sus deseos, señores?
- Я хотела бы побывать в Коломенском.<br>- А мне так хочется попасть в ботанический сад. Там уже лето - зелень, поют птицы, цветут деревья и цветы...	- Me gusataría ir a Kolomenskole.<br>- Yo tengo ganas de ir al jardín botánico... Allí ya ha llegado el verano, los pájaros cantan, florecen los árboles y las flores...
- А я мечтаю посетить какой-нибудь музей и осмотрерть старую Москбу.	- Pues yo sueño con visitar algún museo y ver el Moscú anterior.
- Вы смотрите, кто пришёл! Наш догложданный Михаил. Ура! На "Волге" мы повсюду побываем. Как говорят: "Всем сестрам - по серьгам". Но прежде объясин, что с товой случилось?<br>- Потом, потом! Время не терпит. Машина у подъезда. В путь, друзья!<br>	- ¡Mirad quién ha llegado! Nuestro esperado Mijail. ¡Hurra! Con el "Volga" iremos a todas partes. Como dicen: "A cada hermana - su par de pendientes". Pero primero explica, ¿qué te ha pasado?<br>- ¡Luego, luego! No hay tiempo. El coche está a la entrada. ¡En camino, amigos!
- Эх! Какой русский не любит быстрой езды! Пристегнитесь, друзья. Я прокачу вас с ветерком!<br>- Миша, только без етого! Слова Гороля о русских, боюсь, не пазделяют московские милицонеры.	- ¡Eh! ¿A qué ruso no le gusta la velocidad? Abrochad los cinturones, amigos. ¡Os llevaré con el viento!<br>- Misha, ¡todo menos eso! Me temo que los policías de Moscú no comparten las palabras de Gogol sobre los rusos.
- Не бойтесь! Авось нам повезёт, и мы побываем везде, где вашей душе будет угодно.<br>- Это как раз тот случай, когда говорят, что русские долго запрягают, да быстро идут.	- ¡No tengáis miedo! A lo mejor tenemos suerte y vamos a todas partes donde os apetezca.<br>- Esta es precisamente una de las ocasiones de las que dicen que a los rusos les cuesta salir ("tardan en enganchar") pero luego van rápido.
- Нашёк ваш понял. А впрочем, куда нам спешить, весь день впереди. - Кстати, обратите внимание направо. Это памятник Гоголю. Мы проезжаем по Гололевскому бульвару.	- Has comprndido la indirecta. Por lo demás, ¿por qué correr?, tenemos todo el día por delante. - A propósito, prestad atención a la derecha. Es el monumento a Gogol. Vamos por la Avenida Gogol.
- Мне помнится, сейчас откроется прекрасный вид на Кремль. Я уже здесь дважды проезжал.	- Me acuerdo de que ahora se va a abrir una vista espléndida sobre el Kremlin. Ya he pasado por aquí dos veces.
"Москва, Москва!... Люблю тебя, как сын, как русский, пламенно и нежно!" Я всегда вспомнаю эте слова Лермонтова, когда смотрю на Кремль с Каменного моста.	"¡Moscú, Moscú!... ¡Te quiero, como hijo, como ruso, con ardor y con ternura!" Siempre recuerdo esas palabras de Lermontov cuando miro el Kremlin desde el Puente de piedra.
- Жак, ты знаешь, за что я люблю теба? Ты просто энциклопедия русской классики, да и истории тоже. Кстати, когда был основан Кремль?<br>- Вопрос дла первоклассика. В двенадцатом веке были построены его первые деревянные стены. А вот колокольня "Иван Великий" была построена в начале шестнадцатого века.	- Jacques, ¿sabes por qué te quiero? Eres simplemente una enciclopedia de los clásicos ruso, y también de la historia. Por cierto ¿Cuándo fue fundado el Kremlin?<br>- Es una pregunta para un alumno de primaria. Sus primeras paredes de madera fueron construidas en el siglo doce. El campanario "Iván el Grande" fue construido a principios del siglo dieciséis.
- Миша, я вас прошу остановится здесь. Я хотела бы посмотреть этот книжный базар.<br>- Я сделал бы это с удовольствием, но здесь стоянка запрещена. А впрочем, рискнём.	- Misha, te pido que pares aquí. Querría ver este mercadillo de libros.<br>- Lo haría con mucho gusto pero aquí está prohibido aparcar. Pero nos arriesgaremos.
- Как там у вас, Жак, говорят?<br>- Кто не рискует, тот не пьёт шампанского.	- ¿Cómo se dice en vuestro país, Jacques?<br>- El que no se arriesga, no bebe champán.
- Мне очень знакомо ваше лицо. Мне кажется, мы где-то встречались.<br>- И не однажды, Каждый раз, когда я приезжаю в Москву, я захожу в ваш магазин.	- Me suena mucho su cara. Me parece que ya nos hemos encontrado en algún lugar.<br>- Y no una vez. Cada vez que vengo a Moscú, vengo a su tienda.
- А, да, припоминаю. Послединй раз вы интересовались русской живописью.<br>- И вы тогда мне не смогли предложить нечего интересного.	- Ah, sí, ya me acuerdo. La última vez Ud. se interesó por la pintura rusa.<br>- Y Ud. entonces no pudo recomendarme nada interesante.
- Зато сейчас у нас книги на любой вкус. Что вы хотели бы купить у нас в этот раз?<br>- Меня, как и прежде, интерсуют русские художники, но сейчас у меня появилось новое увлечение - русский театр.	- En cambio ahora tenemos libros a su gusto. ¿Qué quiere comprarnos esta vez?<br>- Como antes, me interesan los artistas rusos pero ahora tengo una nueva afición: el teatro ruso.
- Нет проблем. Вот русская классика от восемнадцатого века до наших дней, а вот пьесы последних лет.<br>- Дайте, пожалуйста, посмотреть этот сборник Вампилова. Сколько это стоит?	- Ningún problema. He aquí los clásicos rusos desde el siglo XVIII hasta nuestros día. Y aquí están las obras de los últimos años.<br>- Déjeme ver, por favor, esa recopilación de Vampilov. ¿Cuánto cuesta?
- Совсем недорого по нынешним временам - сорок рублей.<br>- Ну, за такую книгу это не деньги. Я беру Вампилова. А что  интересного вы мне можете предложить из живописи?	- No es caro para los tiempos que corren: 40 rublos.<br>- Efectivamente, por un libro así no es dinero. Me quedo a Vampilov. ¿Y qué hay de interesante en pintura que me pueda recomendar?
- Всё, что хотите. Во совсем новенький альбом Нестерова и стоит сравнительно дёшево.<br>- Какое прикрасное издание! У нас этот художник почти неизвестен, но его картины великолепны. Как говорил Пушкин: "Здесь русский дух... Здесь Пусью пахнет."	- Todo lo que quiera. He aquí un álbum nuevecito de Nesterov, y cuesta relativamente barato.<br>- ¡Qué bonita edición! Entre nosotros este pintor es casi desconocido pero sus cuadros son magníficos. Como decía Pushkin: "Aquí está el alma rusa... Aquí huele a Rusia".
- Как интересно! Совсем недавно мы с вами говорили почти на пальцах, а теперь вы цитируете русские стихи и читаете пьесы по-русски.<br>- Всё дело в методе. Я изучаю руссий язык по системе "Ассимиль", а главное, всегда интересовался вашей страной.	- ¡Qué interesante! No hace mucho Ud. y yo hablábamos casi con las manos ("dedos"), y ahora cita Ud. poemas rusos y lee dramas en ruso.<br>- Todo es cuestión del método. Estudio ruso con el método "Assimil" y lo principal es que siempre me he interesado por su país.
Валентина, ты замечательная девушка. Всё у тебя на лице - все твои тайны.<br>Ты не уехала, потому что ты влюбилась... Разве нет? А в кого, интересно? Не скажешь? Ну ещё бы!	Valentina, eres una muchacha admirable. Lo llevas todo en la cara; todos tus secretos.<br>No te has ido porque te has enamorado... ¿No es así? ¿Y de quién? ¿No lo dirás? ¡Claro que no!
Ах, Валентина, грустно мне на тебя смотреть. Грустно, потому что меня уже никогда не полюбит такая девушка, как ты.	Ah,Valentina, me entristece mirarte. Me entristece porque de mí ya no se enamorará nunca una muchacha como tú.
- Что неправда? Кому же, интересно, я могу понравиться? Что-то не вижу я желающих... Может, ты кого знаешь?<br>- Все знают, кроме вас.<br>- Вот как!	- ¿Qué no es verdad? Ya me gustaría saber a quién puedo gustar. No veo a demasiadas enamoradas. ¿Quizás tú sabes de alguien?<br>- Todos los saben, menos Ud.<br>- Vaya.
- Вы один здесь такой: ничего не видите... Вы слепой! Слепой - ясно вам?<br>- Ты это серьёзно? Ты уверена, что...?	- Ud. es el único aquí así: no ve nada... ¡Está ciego! Ciego, ¿le queda claro?<br>- ¿Lo dices en serio? ¿Estás segura de que...?
- Слепой... но не глухой же вы, правда же?<br>- Да нет, Валентина, не может етого быть... Ну вот ещё! Нашла объект внимания. Откровенно говоря, ничего хуже меня ты не могла придумать...	- Ciego... pero sordo no es, ¿verad?<br>- No, no, Valentina, eso no puede ser... ¡Buenos estamos! Has encontrado un objeto de atención. Sinceramente, no habrías podido imaginar nada peor que yo.
Ты славная девочка, ты прелесть, но то, что ты сейчас сказала, это ты выбрось из головы... Забудь и никогда не вспоминай... И вообще: ты ничего не говорила и я ничего не слышал... Вот так.	Eres una buena muchacha, un encanto, pero lo que has dicho ahora, quítatelo de la cabeza... Olvídalo y no lo recuerdes nunca más. Además, tú no has dicho nada y yo no he oído nada. Y ya está.
- Я не сказала бы никогда. Вы сами начали.<br>- Я пошутил. Постой... Валентина! Ну вот... Только етого мне и недоставало.	- Yo no lo hubiera dicho nunca. Ud. empezó.<br>- Yo bromeaba. ¡Espera... Valentina! ¡Qué lío!... Solo m faltaba esto.
- Ты знаешь, мой сынок сегодня прибежал из школы и с порога: Мама, хочешь новый анекдот?<br>- Могу себе представить! Какая-нибудь очередная гадость!	- ¿Sabes? Hoy mi hijo ha vuelto corriendo del colegio y "desde el umbral" [me ha dicho]: Mamá, ¿quieres oír un nuevo chiste?<br>- Me lo puedo imaginar, una majadería como siempre.
- Ты, как всегда, права. Вот слушай: "Директор школы входит в класс и видит: полкласса смеётся, а другая половина плачет.	- Como siempre, tienes razón. Escucha: "El director de la escuela entra a la clase y ve: la mitad de la clase ríe y la otra mitad llora.
- Ребята, вы почему смеётесь?<br>- Учитель наш из окна быпал!<br>- А вы что плачете?<br>- А мы этого не видели!	- Chicos, ¿por qué os reís?<br>- ¡Nuestro maestro se cayó por la ventana!<br>- ¿Y vosotros por qué lloráis?<br>- ¡Nosotros no lo vimos!
- Вот видишь! Мы были другими, да и анекдоты были совсем незлыми, а добрыми.<br>- Не говори! Я до сех пор один пмню.	- Ya ves. Nosotros éramos distintos, no los chistes eran tan malvados, sino graciosos.<br>- ¡Ni que lo digas! Yo todavía recuerdo uno.
Мальчик спрашивает приятеля:<br>- Почему твой братик всё время плачет?<br>- Если бы у тебя не было зубов и не было болос, если бы ты не умел ходить и не умел говорить, ты бы ещё не так рыдал!	Un chico pregunta a su amigo:<br>- ¿Por qué llora tu hermanito todo el tiempo?<br>- Si no tuvieras dientes ni pelo, si no supieras caminar ni hablar, ¡tú llorarías más!
- А мой муж сам просто анекдот. Он Серёжу всё ещё маленьким считает.<br>Как только на экране телевизора появляются почти раздетые девицы, он говорит: ...	- Pues mi marido es él mismo un chister. Todavía considera que Seriozha es pequeño.<br>En cuanto aparecen en la pantalla del televisor mujeres casi desnudas, dice: ...
- Всё, Серёжа, пора спать, видишь, тёти уже парделись и тоже идут спать.<br>- А они понимают в сто раз больше, чем в их годы.	- Eso es todo, Seriozha. es hora de dormir, ves, las señoras ya se han quitado la ropa y se van a dormir.<br>- Pero ellos comprenden cien veces más que nosotros a su edad.
-  Вот и моего на уроке ботаники учительница спрашивает:<br>- Миша, расскажи, как размножаются растения.<br>- Растения? - он отвечает, вот о них я и ничего не знаю.	- Al mío le pregunta la maestra en clase de botánica:<br>- Misha, cuéntame cómo se reproducen las plantas.<br>- ¿Las plantas? - responde él - pues de las plantas no sé nada.
- Я, отровенно говоря, не очень люблю музей. Когда бываю в незнакомых городах, прредпочитаю гулять по городу, смотреть а людей...<br>- А я обожаю посещать музей, галерей... И не обязательно очень известные.	- A mí, a decir verdad, no me gustan los museos. Cuando estoy en ciudades desconocidas prefiero pasear por la ciudad, mirar a la gente...<br>- Pues a mí me encanta visitar museos, galerías... y no necesariamente los muy famosos.
- Но сегодня мы посмотрим необыкновенный музей. А вот и она - Третьяковка! Друзья, перед вами Третьяковская галерея.<br>- Всю жизнь мечтал побывать здесь. Но всё как - то не получалось. То мне было никогда, то галерея была закрыта на реставрацию.	- Pero hoy vamos a ver un museo fuera de lo común. Aquí está: ¡la Tretiakova! Amigos, ante vosotros, la galería Tretiakova.<br>- Toda la vida he soñado venir aquí. Pero siempre me lo ha impedido algo. O no tenía tiempo, o la galería estaba cerrada por restauración.
- Друзья, вы посмотрите лучше на это чудесное здание. Оно стало красивее, чем было раньше.	- Amigos, mirad bien este edificio maravilloso. Se ha vuelto más bonito de lo que era.
- Катя, когда и кем была основана галерея? И почему она называется Треьяковская?<br>- Сама галерея была основана фабрикантом Третьяковым в тысяча восемьсот пятидесятом году, а здание было построено через тридцать лет.	- Katia, ¿cuándo fundaron la galería? ¿Y por qué se llama Tretiakov?<br>- La galería misma fue fundada por el magnate industrial Tretiakov en 1850, y el edificio fue construido 30 años después.
- Я читал, что Третьяков собрал  около трёх тысяч картин, а потом, кажется, в тысяча восемьсот девяносто втором году, подарил её городу Москве.<br>- Друзья, минуточку внимания, перед вами, самое знаменитое полотно галереи "Иван Грозный и сын его Иван шестнадцатого ноября тысача пятьсот восемьдесят первого года".	- He leído que Tretiakov reunió unos tres mil cuadros, y luego, me parece que en 1892, los donó a la ciudad de Moscú.<br>- Amigos, un minutito de atención: delante vuestra está la pintura más famosa de la galería, "Iván el Terrible y su hijo Iván, el 16 de noviembre de 1861".
- Если я не ошибаюсь, это Илья Репин. Какой ужасный царь! России на царей не всегда везло. Я хотел бы взглянуть на Левитана.<br>- А вот и твой любимый Левитан - друг Чехова, мастер русскогопейзажа, Чайковский русской живописи. Его картины не могут не нравиться.	- Si no me equivoco, es de Ilia Repin. ¡Qué zar más horrible! Rusia no siempre tuvo suerte con los zares. Me gustaría echar un vistazo al Levitán.<br>- He aquí tu querido Levitán, amigo de Chéjov, maestro del paisaje ruso, el Chaikovski de la pintura rusa. Sus cuadros no pueden no gustar.
- О! Остановитесь! Это "Демон", знаменитый, одинокий, лермонтовский Демон. Я столько раз видел репродукции этого шедевра, и вот он передо мной. Вы идите, я постою здесь. Идите, идите. "Печальный Демон, дух изгнания".	- ¡Oh! ¡Paraos! Éste es "El Demonio", el famoso, solitario Demonio de Lermontov. Tantas veces he visto la reproducción de esta obra maestra y ahora está delante de mí. Seguid adelante, yo me quedo aquí. Seguid, seguid. "Triste Demonio, espíritu del desierto".
- Друзья, давайте быстренько просмотрим другие залы, а потом ещё придём сюда. Как жаль, что у нас так мало знают русскую живопись!	- Amigos, vamos rápido a ver las otras salas, y luego volveremos aquí. Qué lástima que en nuestro país se conozca tan poco la pintura rusa.
- Хотите, я узнаю у вас характер. Вернее, не я, а компьютер. А я задам вам несколько вопросов. Вы готовы?<br>- Любопытно. Я никогда не задумюбался об этом. Характер как характер. Особых проблем он мне никогда не доставлал. Но всегда интересно, что о тебе скажут другие, простите, что скажет ваш компьютер.	- Si quiere, averiguaré cómo es su carácter. Mejor dicho, no yo, sino la computadora. Yo le haré algunas preguntas. ¿Está listo?<br>- Es curioso. Nunca me he parado a pensar en eso. Mi carácter es como es. Nunca me ha causado problemas especiales. Pero siempre es interesante saber qué dirán de ti los otros, perdón qué dirá su computadora.
- Когда вы родились, в каком месяце, какого числа?<br>- Я родился в тысяча девятьсот шестьдесят четвёртом году, шестого мая.	- ¿Cuándo nació Ud. en qué mes, qué día?<br>- Nací en 1964, el 6 de mayo.
- Что вы  любите делать в свободное время? Путешестовать или оставаться дома?<br>- Это зависит. Летом я предпочитаю путешестовать, а зимой мне по душе сидеть дома. Мне нравится что-нибудь читать, сидеть просто рядом с женой с детьми.	- ¿Qué le gusta hacer en su tiempo libre? ¿Viajar o quedarse en casa?<br>- Depende. En verano prefiero viajar pero en invierno me gusta más estar en casa. Me gusta leer algo, estar junto a mi mujere y mis hijos.
- Кстати, а сколько у вас детей?<br>- Два мальчика и девочка - моя любимица. Да вы её видели - прелесть девчонка, да и ребята пока меня только радуют.	- A propósito, ¿cuántos hijos tiene?<br>- Dos niños y una niña, mi favorita. Si Ud. la viera, es un encanto de niña, pero los chicos me dan también solo alegrías.
- Что вы предпочитаете носить? Одежду классического стиля или остромодные вещи?<br>- Пожалуй, сейчас я люблю спокойные тона, классические костюмы, но иногда могу удивить друзей чем-нибудь оригинальным, например, смелым сочетанием цветов рубашки и галстука.	- ¿Qué prefiere ponerse? ¿Ropa de estilo clásico o de última moda?<br>- Bueno, ahora me gustan los tonos suaves, los trajes clásicos, pero a veces puedo sorprender a los amigos con algo original, por ejemplo, con una combinación atrevida de colores de la camisa y la corbata.
- Вам нравится проводить время в кругу друзей? Вы любите шумные вечеринки иле отдаёте предпочтение тихим и солидным беседам?<br>- Мне что-то не очень нравится ваш вопросник. Я люблю и то, и другое. Всё зависит, как говорят, когда, где и с кем. Правда, слишком шумные вечеринки не в моём вкусе.	- ¿Le gusta pasar el tiempo con sus amigos? ¿Le gustan las fiestas ruidosas o prefiere las conversaciones tranquilas y serias?<br>- Hay algo que no me gusta en su cuestionario. Me gusta esto y lo otro. Todo depende, como se dice, del cuándo, dónde y con quién. Aunque es verdad que las fiestas muy ruidosas no son de mi gusto.
- Давайте посмотрим, что у нас получилось. Вы близки к "золотой середине". Человек вы осмотрительный. Нельзя сказать, что вы склонны к приключениям. Вы надёжная опора для семьи и друзей, но...<br>- Всё, всё! Хватит обо мне. Пусть ы меня останутся маленькие тайны.	- Vamos a ver cuál es el resultado. Ud. está cerca de la "mitad de oro". Es una persona prudente. No puede decirse que sea proclive a las aventuras. Es el firme apoyo de su familia y amigos, pero...<br>- ¡Basta, basta! Suficiente sobre mí. Déjeme mis pequeños secretos.
- Чего ты сегодня пасмурен?<br>- Я? нет!	- ¿Por qué está hoy tan apesadumbrado ("nublado")?<br>- ¿Yo? ¡No!
- Ты, верно, Моцарт, чем-нибудь расстроен? Обед хороший, славное вино, а ты молчишь и хмуришься.<br>- Признаться, мой Requiem меня тревожит.	- Mozart, seguramente te abruma algo. La comida es buena, el vino, excelente, pero tú estás callado y tienes un aire taciturno.<br>- Debo reconocer que  mi Requiem me atormenta.
- А! Ты сочиняешь Requiem? Давно ли?<br>- Давно, недели три. Но странный случай... Не сказывал тебе Я?<br>- Нет.	- ¡Ah! ¿Compones un Requiem? ¿Hace mucho?<br>- Hace mucho, unas tres semanas. Pero el caso es extraño. ¿No te lo había dicho?<br>- No.
- Так слушай: недели три тому, пришёл я поздно домой. Сказали мне, что заходил за мною кто-то. Отчего - не не знаю. Всю ночь я думал: кто бы это был?	- Entonces escucha: hace unas tres semanas, llegué a casa tarde. Me dijeron que alguien me había buscado. Por qué, no lo sé. Toda la noche estuve pensando: ¿quién sería?
И это ему во мне? Назавтра тот же зашёл не застал опять меня.<br>На третий день играл я на полу с моим мальчишкой. Кликнули меня.	¿Y qué querría de mí? Al día siguiente volvió a pasar y tampoco me encontró.<br>El tercer día estaba yo jugando con mi chiquito en el suelo. Me llamaron.
Я вышел. Человек, одетый в чёрном, учтиво поклонившись, заказал мне Requiem и скрылся. Сел я тотчас и стал писать, и с той поры за мною не приходил мой чёрный человек.	Salí. Un hombre vestido de negro, tras saludarme cortesmente, me encargó un Requiem y desapareció. Me senté en seguida y me puse a escribir, y desde aquel momento mi hombre de negro no me ha buscado.
- А я и рад, мне было б жаль расстаться с моей роботой, хоть совсем готов уж Requiem. Но между тем, я...<br>- Что?	- Estoy al mismo tiempo contento, porque me daría pena separarme de mi trabajo, aunque ya está casi hecho el Requiem. Pero mientras tanto...<br>- ¿Qué?
